All Racers - ELO and License Report
Generated on: 2025-10-04 15:35:26
====================================================================================================

Rank   Name                                License         ELO        Steam GUID
376    Larsi                               Rookie          1510       76561198119112872
377    Salt                                Rookie          1510       76561198422196868
378    GimmieYoWallet                      Rookie          1510       76561198031902350
379    butter                              Rookie          1510       76561198989576792
380    Potato, ZeroToHero                  Rookie          1510       76561198801402641;76561199230023715
381    CoolConcrete                        Rookie          1510       76561198281535522
382    BenChaggares46                      Rookie          1509       76561198822151823
383    angel_and_devils                    Rookie          1509       76561199439080040
384    Carlos                              Rookie          1509       76561198119672277
385    o0Nasser0o                          Rookie          1509       76561199239217901
386    Jake Johansen                       Rookie          1509       76561198047230400
387    Iosh, Patchy, ProjectPurple         Rookie          1509       76561198198719963;76561199008053666;76561199016198981
388    vis                                 Rookie          1509       76561198012795794
389    pjeretus                            Rookie          1509       76561199372364177
390    FKW BlackWidow                      Rookie          1508       76561198362819555
391    pilotboy651                         Rookie          1508       76561198162440753
392    Thomas                              Rookie          1508       76561198047002406;76561199183099394
393    R. Araujo                           C               1508       76561198324203128
394    AWOL                                Rookie          1508       76561198073042321
395    supercat810                         Rookie          1508       76561198883821843
396    WhiteLightning                      Rookie          1508       76561198866646111
397    SuperHuhman                         Rookie          1508       76561198101622977
398    Stefan Kroll                        Rookie          1508       76561198063173910
399    FL8                                 Rookie          1508       76561199684391687
400    Sergiu Novac                        Rookie          1508       76561199057804650
401    Zoe                                 Rookie          1508       76561198862708890
402    Genji                               Rookie          1507       76561198362188457
403    Fran                                Rookie          1507       76561199102938814
404    Jolasticot                          Rookie          1507       76561198957220210
405    mez                                 Rookie          1507       76561199090096339
406    Mentx                               Rookie          1507       76561198084662366
407    MrPritchard                         Rookie          1507       76561198064986241
408    Mr_Ford65                           Rookie          1507       76561198257025033
409    I.R.O.N. USA                        Rookie          1507       76561198018656515
410    Sulphuric                           Rookie          1507       76561199150909752
411    jiaxi612                            Rookie          1507       76561199543268544
412    mattrap                             Rookie          1507       76561197965045581
413    milkman                             Rookie          1507       76561199081466855
414    Tommy boy, SpeedBump                Rookie          1507       76561198047002406;76561198987735116
415    Bartłomiej Gozdek                   Rookie          1507       76561198962312812
416    chribreu420                         Rookie          1507       76561198286103208
417    splash zone                         Rookie          1507       76561198096322250
418    Danielle                            Rookie          1507       76561198140321276
419    chonk0                              Rookie          1507       76561199014676488
420    KyoteiJ30                           Rookie          1507       76561198147823146
421    GOATDOGGY                           Rookie          1507       76561198097650206
422    maurovie                            Rookie          1507       76561198963456650
423    Zink Slayer                         Rookie          1507       76561199063311261
424    aura consumer                       Rookie          1507       76561199067612092
425    M.Platt                             Rookie          1507       76561199122961600
426    scrappyelk                          Rookie          1507       76561198967834986
427    Banray                              Rookie          1507       76561198390093491
428    Z1Z1_Fast                           Rookie          1507       76561197966667485
429    KimJong Un II                       Rookie          1507       76561198826024907
430    Toister                             Rookie          1507       76561198169894631
431    MULTI_21                            Rookie          1507       76561198338899456
432    Novus                               Rookie          1507       76561198877520451
433    Kacper Jarzynowski                  D               1507       76561198023064581
434    Spudnik                             Rookie          1507       76561198001558365
435    hurmpiedurmpie                      Rookie          1507       76561198333869533
436    Cyril Adams                         Rookie          1507       76561198843270763
437    Ignacio Maitenon                    Rookie          1506       76561198296028754
438    Erza                                Rookie          1506       76561198316266286
439    Mangooseeo                          Rookie          1506       76561198970681538
440    Sebastian Oliver                    Rookie          1506       76561198961754130
441    mongo_slade                         Rookie          1506       76561199804339714
442    Ejesesei                            Rookie          1506       76561199470431429
443    Syrag                               Rookie          1505       76561199468479096
444    Pouic                               Rookie          1505       76561198081239201
445    TMF Randall                         Rookie          1505       76561198130894765
446    Maeyama                             Rookie          1505       76561198271231857
447    Wld                                 Rookie          1505       76561198201988785
448    tuhmayto                            Rookie          1505       76561198157379137
449    Paolo Mangente                      Rookie          1505       76561198220556983
450    Nicolas Romitelli                   Rookie          1505       76561198187819521
451    fts_e36                             Rookie          1505       76561198862453376
452    Titi                                Rookie          1505       76561199865479056
453    Pakeo                               Rookie          1504       76561198861266088
454    kotora                              Rookie          1504       76561198183063381
455    Lua                                 Rookie          1504       76561198290894827
456    играет профессио                    Rookie          1504       76561199145422856
457    TemakiEBom                          Rookie          1504       76561198120808978
458    venom62600                          Rookie          1504       76561199179445923
459    Joe                                 Rookie          1504       76561198092721349
460    ryan                                Rookie          1504       76561199141761179
461    Philipower                          Rookie          1504       76561198952526653
462    Potato Aim                          Rookie          1504       76561199132478655
463    ironcow911                          Rookie          1504       76561198803294261
464    Thicc Nicc.                         Rookie          1504       76561198807709085
465    Zale Xypher                         Rookie          1504       76561198821984298
466    alilgreenman                        Rookie          1504       76561198426455187
467    Rawblankito                         Rookie          1504       76561198314832243
468    partenzaalessandro55                Rookie          1504       76561199368658175
469    caesetius                           Rookie          1504       76561199037967850
470    qwarty56                            Rookie          1504       76561198042185500
471    Julian                              Rookie          1504       76561198033019327
472    Goshu                               Rookie          1504       76561198008585393;76561198193116245
473    Hugo                                Rookie          1504       76561199612445460
474    sef                                 Rookie          1504       76561198399457624
475    CheeOoo                             Rookie          1504       76561198839233103
476    ex0                                 Rookie          1504       76561198975234933
477    Lorenzo                             Rookie          1504       76561198153710021
478    Garbear                             Rookie          1504       76561198402047253
479    railed                              Rookie          1504       76561199098232068
480    ismagtr61                           Rookie          1504       76561199488854329
481    TTV.Ducky9532                       Rookie          1504       76561199164320117
482    kabi                                Rookie          1504       76561199350942779
483    eloy.tgc                            Rookie          1504       76561199237327753
484    Eilifint                            Rookie          1504       76561199026431271
485    ZuZ                                 Rookie          1504       76561198984310116
486    今もいい天気                              Rookie          1504       76561198285302577
487    ImaFishWithLung                     Rookie          1504       76561198391820805
488    G_Gallaga                           Rookie          1504       76561198280129456
489    GGlory                              Rookie          1504       76561198011430884
490    Player                              Rookie          1504       76561199550430527
491    Roberto Cerri                       Rookie          1504       76561199778541669
492    ahrenx                              Rookie          1504       76561198915524977
493    KruegerStupid                       Rookie          1504       76561199052042783
494    Ergi                                Rookie          1504       76561198292270725
495    Slyv                                Rookie          1504       76561198327126701
496    NotStig3                            Rookie          1504       76561198033544236
497    AYYJAYY                             Rookie          1504       76561198105072499
498    Player                              Rookie          1504       76561198022908407
499    Cano                                Rookie          1504       76561198358544800
500    Crimson                             Rookie          1504       76561199070961664
501    Eissa                               Rookie          1504       76561198868409600
502    Daiki-                              Rookie          1504       76561198197824073
503    Pank                                Rookie          1503       76561198089268899
504    Mateo Osorio                        Rookie          1503       76561198208819449
505    Federico Azuaga                     Rookie          1503       76561199155497597
506    TheVirgin                           Rookie          1503       76561198133310036
507    ON90                                Rookie          1503       76561199059576658
508    Pivíí                               Rookie          1503       76561199128814016
509    RicochetZ                           Rookie          1503       76561199526442121
510    Forgy                               Rookie          1503       76561198397767365
511    Benko                               Rookie          1503       76561198981431890
512    Milky                               Rookie          1503       76561198796450862
513    lanceres2016                        Rookie          1503       76561199680556703
514    sosa                                Rookie          1503       76561197987132087
515    maaxr8                              Rookie          1503       76561199043100704
516    Neutral_Ghost                       Rookie          1503       76561198409227139
517    Will091195                          Rookie          1503       76561198144403424
518    Pascal                              Rookie          1503       76561199619629617
519    Willy                               Rookie          1503       76561199218786477
520    ravz                                C               1503       76561198842055326
521    j707j                               Rookie          1502       76561199473856230
522    亗ㅤF 么 C Uㅤ亗                         Rookie          1502       76561199037528252
523    Elronge                             Rookie          1502       76561198351859981
524    Pangracio                           Rookie          1502       76561198166945729
525    Gage Cornell, Matthew Shelton, Evan Cuadra Rookie          1502       76561198109758560;76561198112229607;76561198802983862
526    Cody                                Rookie          1502       76561197966039425
527    Taybay240                           C               1502       76561199131925278
528    CainIsaac                           Rookie          1502       76561198201271225
529    James                               C               1502       76561198036846788
530    classytrickyboi                     Rookie          1502       76561198837735121
531    TJSPQF                              Rookie          1502       76561198430988350
532    DVRK                                Rookie          1501       76561199026441121
533    nicabtt01                           Rookie          1501       76561199415564278
534    Burner                              Rookie          1501       76561198001823595
535    Thorn                               Rookie          1501       76561199058517121
536    acsim364                            C               1501       76561199480080061
537    FacundoRW25                         Rookie          1501       76561198117493519
538    Enjoi                               Rookie          1501       76561198324655111
539    Terry.                              Rookie          1501       76561199131075767
540    Denny Earnhardt                     Rookie          1501       76561199060314592
541    Dracko                              Rookie          1501       76561198281082533
542    El Nooberino                        Rookie          1500       76561198005738016
543    Fart Propulsion System              Rookie          1500       76561198137155153
544    Jagsub                              Rookie          1500       76561198993811682
545    Babalkany                           Rookie          1500       76561198860283777
546    Din Viesel                          Rookie          1500       76561198267261283
547    Mogs                                Rookie          1500       76561197965534549
548    Bogdan                              Rookie          1500       76561198139638159
549    yikers                              Rookie          1500       76561198137576349
550    mcGreen                             Rookie          1500       76561198008773371
551    Peter9588                           Rookie          1500       76561199104130118
552    Yackman1                            Rookie          1500       76561199013226585
553    John Kimble                         Rookie          1500       76561197972753447
554    dradosll                            Rookie          1500       76561198202917949
555    AIDAN                               Rookie          1500       76561198816237583
556    Luna                                Rookie          1500       76561198364628247
557    Andre Pimentel                      Rookie          1500       76561198052643959
558    Rubens Moura                        Rookie          1500       76561198307308556
559    Cmac                                Rookie          1500       76561198170204026
560    lljojopvll                          Rookie          1500       76561198072593901
